Player,G,Date,Age,Tm,H/A,Opp,W/L,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,Pos,KM
Joel Embiid,33,2023-01-17,28-307,PHI,0,LAC,10,1,33.266666666666666,12,22,.545,2,5,.400,15,18,.833,3,6,9,3,0,2,5,2,41,30.8,+7,C,15
Joel Embiid,34,2023-01-19,28-309,PHI,0,POR,10,1,33.11666666666667,12,22,.545,1,3,.333,7,7,1.000,1,8,9,2,1,3,2,5,32,25.0,+12,C,15
Joel Embiid,35,2023-01-25,28-315,PHI,1,BKN,4,1,34.65,6,18,.333,1,5,.200,13,13,1.000,2,8,10,3,2,0,2,4,26,20.1,-1,C,15
Joel Embiid,36,2023-01-28,28-318,PHI,1,DEN,7,1,37.88333333333333,18,31,.581,4,7,.571,7,10,.700,6,12,18,5,3,2,6,2,47,40.2,+14,C,15
Joel Embiid,37,2023-01-30,28-320,PHI,1,ORL,-10,1,33.11666666666667,11,20,.550,1,3,.333,7,11,.636,1,10,11,5,2,2,6,5,30,21.4,-11,C,15
Joel Embiid,38,2023-02-01,28-322,PHI,1,ORL,11,1,34.833333333333336,9,17,.529,0,1,.000,10,10,1.000,3,8,11,3,0,1,2,2,28,24.2,+17,C,15
Joel Embiid,39,2023-02-03,28-324,PHI,0,SAS,12,1,27.683333333333334,10,18,.556,2,3,.667,11,13,.846,2,8,10,4,2,0,3,2,33,28.4,+13,C,15
Joel Embiid,40,2023-02-05,28-326,PHI,0,NYK,-11,1,36.3,6,16,.375,1,4,.250,18,19,.947,2,12,14,3,0,1,5,1,31,24.2,+18,C,15
Joel Embiid,41,2023-02-08,28-329,PHI,0,BOS,-7,1,39.36666666666667,11,21,.524,1,3,.333,5,7,.714,0,7,7,1,2,1,2,3,28,19.2,-3,C,15
Joel Embiid,42,2023-02-10,28-331,PHI,1,NYK,11,1,37.75,14,18,.778,0,1,.000,7,10,.700,2,9,11,6,1,2,1,2,35,35.7,+7,C,15
Joel Embiid,43,2023-02-11,28-332,PHI,0,BKN,3,1,37.38333333333333,12,18,.667,1,2,.500,12,13,.923,2,11,13,2,2,0,3,3,37,32.7,+5,C,15
Joel Embiid,44,2023-02-13,28-334,PHI,1,HOU,19,1,30.683333333333334,8,14,.571,1,2,.500,6,6,1.000,0,6,6,4,1,0,3,3,23,17.8,+12,C,15
Joel Embiid,45,2023-02-15,28-336,PHI,1,CLE,6,1,38.55,9,21,.429,0,2,.000,11,12,.917,1,13,14,5,2,1,2,3,29,25.1,+3,C,15
Joel Embiid,46,2023-02-23,28-344,PHI,1,MEM,5,1,38.583333333333336,7,25,.280,0,5,.000,13,17,.765,2,17,19,6,1,6,2,4,27,23.0,+6,C,15
Joel Embiid,47,2023-02-25,28-346,PHI,1,BOS,-3,1,39.81666666666667,12,21,.571,0,1,.000,17,18,.944,1,11,12,5,0,3,3,1,41,36.9,+8,C,15
Joel Embiid,48,2023-02-27,28-348,PHI,1,MIA,-2,1,33.583333333333336,10,17,.588,0,1,.000,7,7,1.000,3,9,12,2,0,1,6,4,27,18.4,-2,C,15
Joel Embiid,49,2023-03-02,28-351,PHI,0,DAL,-7,1,35.733333333333334,13,21,.619,0,1,.000,9,13,.692,4,4,8,1,2,0,3,5,35,25.6,-16,C,15
Joel Embiid,50,2023-03-04,28-353,PHI,0,MIL,3,1,37.1,11,22,.500,3,5,.600,6,10,.600,0,6,6,10,0,0,1,5,31,24.2,-7,C,15
Joel Embiid,51,2023-03-06,28-355,PHI,0,IND,4,1,37.11666666666667,11,16,.688,1,2,.500,19,19,1.000,1,4,5,3,2,1,4,4,42,36.3,-4,C,15
Joel Embiid,52,2023-03-07,28-356,PHI,0,MIN,23,1,27.983333333333334,13,22,.591,4,4,1.000,9,9,1.000,1,6,7,4,1,3,3,2,39,33.4,+18,C,15
Joel Embiid,53,2023-03-10,28-359,PHI,1,POR,1,1,37.56666666666667,13,20,.650,0,1,.000,13,18,.722,1,6,7,4,2,3,4,2,39,32.8,+2,C,15
Joel Embiid,54,2023-03-12,28-361,PHI,1,WAS,19,1,31.183333333333334,12,21,.571,0,3,.000,10,12,.833,3,5,8,4,1,4,1,1,34,32.1,+13,C,15
Joel Embiid,55,2023-03-15,28-364,PHI,0,CLE,9,1,38.1,12,19,.632,2,5,.400,10,10,1.000,3,15,18,3,0,4,6,5,36,31.0,+15,C,15
Joel Embiid,56,2023-03-17,29-001,PHI,0,CHA,39,1,29.166666666666668,16,21,.762,0,0,,6,7,.857,1,12,13,5,0,4,3,1,38,36.5,+26,C,15
Joel Embiid,57,2023-03-18,29-002,PHI,0,IND,20,1,29.55,10,15,.667,1,3,.333,10,13,.769,2,5,7,7,0,2,1,2,31,30.7,+15,C,15
Joel Embiid,58,2023-03-20,29-004,PHI,1,CHI,-4,1,44.03333333333333,11,22,.500,0,2,.000,15,17,.882,3,13,16,1,1,3,5,6,37,27.6,+8,C,15
Joel Embiid,59,2023-03-22,29-006,PHI,0,CHI,25,1,16.3,5,7,.714,0,2,.000,2,2,1.000,0,7,7,7,1,1,4,1,12,13.4,+25,C,15
Joel Embiid,60,2023-03-24,29-008,PHI,0,GSW,-8,1,37.8,13,23,.565,1,5,.200,19,22,.864,1,8,9,8,2,1,3,2,46,41.5,+13,C,15
Joel Embiid,61,2023-03-25,29-009,PHI,0,PHX,-20,1,32.266666666666666,8,19,.421,1,4,.250,11,13,.846,2,8,10,4,0,2,3,1,28,21.7,-5,C,15
Joel Embiid,62,2023-03-29,29-013,PHI,1,DAL,8,1,33.13333333333333,8,17,.471,1,3,.333,8,9,.889,1,8,9,3,1,1,4,4,25,17.2,+10,C,15
Joel Embiid,63,2023-03-31,29-015,PHI,1,TOR,7,1,33.56666666666667,7,13,.538,0,2,.000,11,12,.917,1,11,12,1,0,1,5,3,25,17.5,,C,15
Joel Embiid,64,2023-04-02,29-017,PHI,0,MIL,-13,1,31.6,11,25,.440,1,7,.143,5,5,1.000,1,8,9,5,0,0,1,4,28,18.9,-10,C,15
Joel Embiid,65,2023-04-04,29-019,PHI,1,BOS,2,1,38.6,20,25,.800,0,1,.000,12,13,.923,2,11,13,6,0,2,3,3,52,48.2,+17,C,15
Joel Embiid,66,2023-04-06,29-021,PHI,1,MIA,-28,1,30.433333333333334,9,13,.692,1,2,.500,2,4,.500,0,6,6,2,0,2,2,1,21,16.9,-11,C,15
Shai Gilgeous-Alexander,1,2022-10-19,24-099,OKC,0,MIN,-7,1,36.78333333333333,12,23,.522,2,6,.333,6,6,1.000,2,4,6,5,3,2,2,1,32,28.8,-1,PG,15
Shai Gilgeous-Alexander,2,2022-10-22,24-102,OKC,0,DEN,-5,1,33.93333333333333,11,24,.458,1,5,.200,5,5,1.000,0,3,3,7,1,0,5,4,28,15.8,-6,PG,15
Shai Gilgeous-Alexander,3,2022-10-25,24-105,OKC,1,LAC,14,1,36.733333333333334,11,22,.500,2,2,1.000,9,9,1.000,1,4,5,8,3,3,2,0,33,32.6,+23,PG,15
Shai Gilgeous-Alexander,4,2022-10-27,24-107,OKC,1,LAC,8,1,34.016666666666666,10,23,.435,2,4,.500,2,2,1.000,1,4,5,6,3,0,3,4,24,16.4,+12,PG,15
Shai Gilgeous-Alexander,5,2022-10-29,24-109,OKC,0,DAL,6,1,41.333333333333336,15,27,.556,0,2,.000,8,8,1.000,2,4,6,9,2,1,3,2,38,32.9,+20,PG,15
Shai Gilgeous-Alexander,6,2022-11-01,24-112,OKC,1,ORL,8,1,32.9,12,18,.667,0,3,.000,10,11,.909,0,4,4,6,3,2,5,2,34,29.8,-2,PG,15
Shai Gilgeous-Alexander,7,2022-11-03,24-114,OKC,1,DEN,-12,1,35.2,13,17,.765,0,0,,11,11,1.000,1,3,4,3,2,0,4,3,37,30.8,-6,PG,15
Shai Gilgeous-Alexander,8,2022-11-05,24-116,OKC,0,MIL,-14,1,31.766666666666666,7,16,.438,0,1,.000,4,5,.800,0,1,1,3,1,1,2,3,18,10.1,-19,PG,15
Shai Gilgeous-Alexander,9,2022-11-07,24-118,OKC,0,DET,-9,1,38.0,13,23,.565,0,0,,7,7,1.000,2,5,7,5,1,4,1,2,33,30.5,-8,PG,15
Shai Gilgeous-Alexander,10,2022-11-09,24-120,OKC,1,MIL,-4,1,46.083333333333336,13,25,.520,2,5,.400,11,13,.846,1,3,4,4,0,2,4,5,39,25.7,+3,PG,15
Shai Gilgeous-Alexander,11,2022-11-11,24-122,OKC,1,TOR,19,1,28.05,8,14,.571,1,2,.500,3,4,.750,0,3,3,4,3,1,3,2,20,16.6,+13,PG,15
Shai Gilgeous-Alexander,12,2022-11-13,24-124,OKC,0,NYK,10,1,36.2,13,22,.591,2,3,.667,9,10,.900,0,5,5,8,3,2,6,2,37,31.1,+4,PG,15
Shai Gilgeous-Alexander,13,2022-11-14,24-125,OKC,0,BOS,-4,1,35.983333333333334,13,26,.500,2,4,.500,9,9,1.000,1,3,4,8,2,1,4,2,37,29.1,-3,PG,15
Shai Gilgeous-Alexander,14,2022-11-16,24-127,OKC,0,WAS,1,1,34.81666666666667,14,22,.636,2,3,.667,12,17,.706,2,4,6,7,0,1,2,1,42,36.0,+9,PG,15
Shai Gilgeous-Alexander,15,2022-11-18,24-129,OKC,0,MEM,-11,1,33.86666666666667,6,18,.333,2,4,.500,1,1,1.000,1,5,6,6,0,1,2,4,15,8.3,-13,PG,15
Shai Gilgeous-Alexander,16,2022-11-21,24-132,OKC,1,NYK,-10,1,34.6,9,22,.409,0,2,.000,12,13,.923,1,4,5,7,1,1,3,3,30,22.1,-7,PG,15
Shai Gilgeous-Alexander,17,2022-11-23,24-134,OKC,1,DEN,-5,1,42.516666666666666,8,20,.400,1,4,.250,14,14,1.000,1,6,7,11,2,1,1,3,31,30.9,+2,PG,15
Shai Gilgeous-Alexander,18,2022-11-25,24-136,OKC,1,CHI,4,1,40.38333333333333,8,21,.381,0,3,.000,14,15,.933,1,7,8,7,0,1,1,2,30,24.7,+9,PG,15
Shai Gilgeous-Alexander,19,2022-11-26,24-137,OKC,0,HOU,-13,1,27.516666666666666,12,21,.571,1,3,.333,7,7,1.000,1,2,3,3,2,0,3,1,32,24.1,-9,PG,15
Shai Gilgeous-Alexander,20,2022-11-28,24-139,OKC,0,NOP,-4,1,35.63333333333333,7,21,.333,1,6,.167,16,18,.889,3,3,6,4,2,0,7,4,31,17.5,-9,PG,15
Shai Gilgeous-Alexander,21,2022-12-03,24-144,OKC,0,MIN,7,1,34.61666666666667,10,17,.588,1,2,.500,12,12,1.000,0,1,1,6,3,1,4,0,33,29.3,-6,PG,15
Shai Gilgeous-Alexander,22,2022-12-05,24-146,OKC,0,ATL,7,1,34.78333333333333,10,22,.455,0,3,.000,15,15,1.000,0,6,6,5,2,0,6,4,35,23.3,+12,PG,15
Shai Gilgeous-Alexander,23,2022-12-07,24-148,OKC,0,MEM,-21,1,33.78333333333333,4,14,.286,1,4,.250,17,19,.895,0,3,3,7,0,1,5,0,26,18.5,-12,PG,15
Shai Gilgeous-Alexander,24,2022-12-10,24-151,OKC,0,CLE,-8,1,31.4,7,13,.538,0,2,.000,9,9,1.000,1,1,2,3,2,0,2,6,23,17.4,-17,PG,15
Shai Gilgeous-Alexander,25,2022-12-12,24-153,OKC,0,DAL,-7,1,37.55,14,23,.609,1,2,.500,13,13,1.000,0,2,2,3,3,0,2,5,42,33.2,+6,PG,15
Shai Gilgeous-Alexander,26,2022-12-14,24-155,OKC,1,MIA,-2,1,36.36666666666667,10,20,.500,1,3,.333,6,6,1.000,0,8,8,7,1,0,5,1,27,19.9,+10,PG,15
Shai Gilgeous-Alexander,27,2022-12-16,24-157,OKC,1,MIN,-2,1,37.81666666666667,11,23,.478,3,5,.600,10,12,.833,1,6,7,5,1,0,5,4,35,22.9,+5,PG,15
Shai Gilgeous-Alexander,28,2022-12-19,24-160,OKC,1,POR,2,1,36.03333333333333,10,24,.417,1,1,1.000,14,14,1.000,0,2,2,6,1,2,2,2,35,26.6,-1,PG,15
Shai Gilgeous-Alexander,29,2022-12-21,24-162,OKC,1,POR,3,1,35.46666666666667,8,19,.421,0,3,.000,11,13,.846,0,6,6,3,2,1,5,3,27,16.5,-1,PG,15
Shai Gilgeous-Alexander,30,2022-12-23,24-164,OKC,1,NOP,-3,1,43.083333333333336,17,29,.586,3,4,.750,7,9,.778,1,9,10,6,2,1,2,4,44,36.4,-6,PG,15
Shai Gilgeous-Alexander,31,2022-12-27,24-168,OKC,1,SAS,16,1,33.4,9,14,.643,0,0,,10,11,.909,1,5,6,8,2,4,4,2,28,29.2,+11,PG,15
Shai Gilgeous-Alexander,32,2022-12-29,24-170,OKC,0,CHA,-8,1,35.983333333333334,11,23,.478,1,3,.333,5,7,.714,2,1,3,5,2,0,2,4,28,19.1,-9,PG,15
Shai Gilgeous-Alexander,33,2022-12-31,24-172,OKC,1,PHI,-19,1,32.38333333333333,4,15,.267,1,2,.500,5,8,.625,2,4,6,5,0,0,2,3,14,6.8,-17,PG,15
Shai Gilgeous-Alexander,34,2023-01-04,24-176,OKC,0,ORL,-11,1,35.21666666666667,8,19,.421,0,1,.000,17,18,.944,1,3,4,4,1,1,3,3,33,24.4,-3,PG,15
Shai Gilgeous-Alexander,35,2023-01-06,24-178,OKC,1,WAS,17,1,33.15,12,23,.522,1,4,.250,5,6,.833,0,3,3,4,1,2,0,4,30,22.8,+25,PG,15
Shai Gilgeous-Alexander,36,2023-01-08,24-180,OKC,1,DAL,11,1,36.25,11,17,.647,0,1,.000,11,13,.846,0,5,5,5,1,2,3,5,33,27.1,+7,PG,15
Shai Gilgeous-Alexander,37,2023-01-10,24-182,OKC,0,MIA,-1,1,38.65,9,18,.500,2,4,.500,6,7,.857,0,4,4,4,3,0,6,2,26,16.8,+2,PG,15
Shai Gilgeous-Alexander,38,2023-01-12,24-184,OKC,0,PHI,19,1,34.81666666666667,10,16,.625,1,1,1.000,16,16,1.000,1,7,8,6,1,2,1,2,37,37.4,+11,PG,15
Shai Gilgeous-Alexander,39,2023-01-13,24-185,OKC,0,CHI,14,1,33.166666666666664,7,14,.500,0,1,.000,7,8,.875,0,5,5,6,4,2,2,3,21,21.5,+4,PG,15
Shai Gilgeous-Alexander,40,2023-01-15,24-187,OKC,0,BKN,10,1,35.86666666666667,8,17,.471,1,4,.250,11,14,.786,1,6,7,1,1,1,1,0,28,22.0,0,PG,15
Shai Gilgeous-Alexander,41,2023-01-18,24-190,OKC,1,IND,20,1,29.783333333333335,7,17,.412,1,4,.250,8,9,.889,1,2,3,6,3,0,2,2,23,19.2,+38,PG,15
Shai Gilgeous-Alexander,42,2023-01-20,24-192,OKC,0,SAC,-5,1,37.5,16,23,.696,2,3,.667,3,4,.750,1,0,1,7,2,0,0,0,37,34.5,-10,PG,15
Shai Gilgeous-Alexander,43,2023-01-22,24-194,OKC,0,DEN,2,1,37.36666666666667,13,21,.619,1,2,.500,7,8,.875,0,5,5,5,0,2,1,2,34,28.7,+5,PG,15
Shai Gilgeous-Alexander,44,2023-01-25,24-197,OKC,1,ATL,-5,1,36.483333333333334,13,22,.591,1,1,1.000,9,10,.900,2,3,5,7,2,2,4,3,36,30.8,+9,PG,15
Shai Gilgeous-Alexander,45,2023-01-27,24-199,OKC,1,CLE,12,1,35.15,12,21,.571,1,1,1.000,10,11,.909,2,3,5,8,2,1,0,2,35,34.5,+14,PG,15
Shai Gilgeous-Alexander,46,2023-01-30,24-202,OKC,1,GSW,-8,1,36.516666666666666,10,24,.417,1,2,.500,10,10,1.000,0,4,4,7,0,3,5,3,31,20.2,-15,PG,15
Shai Gilgeous-Alexander,47,2023-02-01,24-204,OKC,0,HOU,-6,1,34.016666666666666,7,23,.304,0,3,.000,10,10,1.000,5,3,8,4,3,0,1,5,24,17.9,-7,PG,15
Shai Gilgeous-Alexander,48,2023-02-04,24-207,OKC,1,HOU,32,1,30.333333333333332,14,23,.609,0,2,.000,14,15,.933,0,4,4,6,3,2,0,3,42,39.7,+38,PG,15
Shai Gilgeous-Alexander,49,2023-02-06,24-209,OKC,0,GSW,-27,1,29.15,6,16,.375,0,1,.000,8,8,1.000,0,0,0,4,0,0,0,3,20,12.8,-17,PG,15
Shai Gilgeous-Alexander,50,2023-02-07,24-210,OKC,0,LAL,3,1,37.68333333333333,9,17,.529,1,1,1.000,11,12,.917,0,2,2,8,2,0,4,5,30,23.5,-2,PG,15
Shai Gilgeous-Alexander,51,2023-02-10,24-213,OKC,0,POR,9,1,39.333333333333336,13,16,.813,0,1,.000,18,19,.947,0,3,3,7,2,1,4,1,44,41.7,+22,PG,15
Shai Gilgeous-Alexander,52,2023-02-13,24-216,OKC,1,NOP,-3,1,38.96666666666667,8,21,.381,0,2,.000,8,9,.889,3,7,10,5,1,0,6,4,24,13.2,+9,PG,15
Shai Gilgeous-Alexander,53,2023-02-15,24-218,OKC,1,HOU,37,1,29.05,8,16,.500,0,2,.000,13,15,.867,0,2,2,6,0,2,1,3,29,24.2,+27,PG,15
Shai Gilgeous-Alexander,54,2023-02-23,24-226,OKC,0,UTA,-1,1,40.86666666666667,12,26,.462,0,2,.000,15,19,.789,2,6,8,7,2,1,2,2,39,32.0,0,PG,15
Shai Gilgeous-Alexander,55,2023-03-05,24-236,OKC,1,UTA,10,1,36.93333333333333,10,17,.588,1,2,.500,17,19,.895,2,5,7,4,3,1,4,4,38,33.1,+5,PG,15
Shai Gilgeous-Alexander,56,2023-03-07,24-238,OKC,1,GSW,9,1,36.083333333333336,14,24,.583,2,5,.400,3,4,.750,0,3,3,6,2,0,4,4,33,22.9,-10,PG,15
Shai Gilgeous-Alexander,57,2023-03-11,24-242,OKC,0,NOP,14,1,37.06666666666667,11,23,.478,0,0,,13,13,1.000,1,5,6,2,4,1,1,3,35,29.4,+12,PG,15
Shai Gilgeous-Alexander,58,2023-03-14,24-245,OKC,1,BKN,14,1,36.38333333333333,12,24,.500,1,1,1.000,10,12,.833,1,6,7,4,1,0,3,4,35,23.9,+12,PG,15
Shai Gilgeous-Alexander,59,2023-03-16,24-247,OKC,0,TOR,-17,1,34.86666666666667,12,19,.632,1,1,1.000,4,5,.800,2,1,3,3,2,0,3,1,29,22.5,-17,PG,15
Shai Gilgeous-Alexander,60,2023-03-19,24-250,OKC,1,PHX,4,1,35.43333333333333,12,24,.500,0,0,,16,19,.842,0,5,5,4,1,0,3,2,40,28.3,+10,PG,15
Shai Gilgeous-Alexander,61,2023-03-21,24-252,OKC,0,LAC,1,1,36.03333333333333,12,25,.480,1,4,.250,6,7,.857,0,7,7,4,0,0,4,4,31,17.2,-5,PG,15
Shai Gilgeous-Alexander,62,2023-03-23,24-254,OKC,0,LAC,-22,1,26.85,10,15,.667,1,1,1.000,9,9,1.000,0,4,4,3,1,3,2,2,30,27.1,-1,PG,15
Shai Gilgeous-Alexander,63,2023-03-24,24-255,OKC,0,LAL,-5,1,35.75,9,22,.409,1,3,.333,8,9,.889,0,5,5,8,1,1,2,4,27,20.0,+2,PG,15
Shai Gilgeous-Alexander,64,2023-03-26,24-257,OKC,0,POR,6,1,35.166666666666664,9,17,.529,0,1,.000,13,15,.867,2,0,2,3,4,0,3,1,31,26.0,+1,PG,15
Shai Gilgeous-Alexander,65,2023-03-31,24-262,OKC,0,IND,-4,1,38.233333333333334,11,22,.500,0,2,.000,17,17,1.000,0,9,9,4,1,1,3,6,39,29.8,,PG,15
Shai Gilgeous-Alexander,66,2023-04-02,24-264,OKC,1,PHX,-10,1,37.53333333333333,11,22,.500,0,0,,17,17,1.000,0,3,3,5,2,0,1,4,39,31.8,-6,PG,15
Shai Gilgeous-Alexander,67,2023-04-04,24-266,OKC,0,GSW,-11,1,33.68333333333333,11,17,.647,2,4,.500,8,9,.889,1,4,5,7,0,0,3,5,32,25.9,-9,PG,15
Shai Gilgeous-Alexander,68,2023-04-06,24-268,OKC,0,UTA,16,1,37.71666666666667,7,19,.368,1,5,.200,7,10,.700,2,5,7,7,1,0,1,3,22,16.9,+7,PG,15
